src_file,stamp,gpu,sm_count,clock_ghz,round,shape,M,N,K,kernel,iters,ms,gflops,pct_peak,ai,roofline_gflops,roofline_pct,load_per_fma,dist,bcast,ldg,req_per_fma,beat,cyc_per_load,model_pred,model_note,regs,barriers,smem_bytes,spill_bytes,occ_pct,blocks_per_sm,threads_per_block,block_x,block_y,grid_x,grid_y,footprint_mb,verified
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,4096,4096,4096,k0,11,2.401,57247.9,69.33,,,,,,,,,,,,,,,,,,,,,,,,201.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,8192,8192,8192,k1,3,1695.847,648.4,0.79,0.25,252.0,257.3,2.0,0.0,0.0,2.0,33.0,31.84,15.92,3.78,,40,0,0,0,66.7,1,1024,32,32,256,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,8192,8192,8192,k2,5,240.655,4568.8,5.53,0.25,252.0,1813.0,2.0,0.0,0.0,2.0,2.0,4.52,2.26,3.78,,40,0,0,0,66.7,1,1024,32,32,256,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,8192,8192,8192,k3,11,186.974,5880.6,7.12,7.984,8049.0,73.1,2.062,1.0,1.0,0.062,,3.51,1.7,3.26,,38,1,8192,0,66.7,1,1024,32,32,256,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,8192,8192,8192,k3c,11,181.157,6069.4,7.35,12.76,12863.0,47.2,2.039,1.0,1.0,0.039,,3.4,1.67,3.21,,38,1,8192,0,66.7,1,1024,32,32,64,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,8192,8192,8192,k4,11,76.294,14411.5,17.45,7.984,8049.0,179.0,1.188,0.125,1.0,0.062,,1.43,1.21,0.97,,54,1,8192,0,75.0,9,128,32,4,256,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,8192,8192,8192,k5,11,53.541,20535.9,24.87,12.76,12863.0,159.6,0.414,0.125,0.25,0.039,,1.01,2.43,0.53,,72,1,20480,0,33.3,4,128,32,4,64,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,8192,8192,8192,k6,11,31.011,35455.6,42.94,12.76,12863.0,275.6,0.104,0.031,0.062,0.01,,0.58,5.62,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,64,256,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,2,square,8192,8192,8192,k0,11,18.698,58803.2,71.21,,,,,,,,,,,,,,,,,,,,,,,,805.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,1024,1024,1024,k2,11,0.416,5166.2,6.26,0.25,252.0,2050.9,2.0,0.0,0.0,2.0,2.0,4.0,2.0,3.78,,40,0,0,0,66.7,1,1024,32,32,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,1024,1024,1024,k3,11,0.333,6456.5,7.82,7.877,7941.0,81.3,2.062,1.0,1.0,0.062,,3.2,1.55,3.26,,38,1,8192,0,66.7,1,1024,32,32,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,1024,1024,1024,k3c,11,0.323,6638.5,8.04,12.488,12589.0,52.7,2.039,1.0,1.0,0.039,,3.11,1.53,3.21,,38,1,8192,0,66.7,1,1024,32,32,8,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,1024,1024,1024,k4,11,0.126,17097.8,20.71,7.877,7941.0,215.3,1.188,0.125,1.0,0.062,,1.21,1.02,0.97,,54,1,8192,0,75.0,9,128,32,4,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,1024,1024,1024,k5,11,0.087,24636.1,29.83,12.488,12589.0,195.7,0.414,0.125,0.25,0.039,,0.84,2.02,0.53,,72,1,20480,0,33.3,4,128,32,4,8,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,1024,1024,1024,k6,11,0.076,28244.5,34.2,12.488,12589.0,224.4,0.104,0.031,0.062,0.01,,0.73,7.06,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,8,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,1024,1024,1024,k0,11,0.053,40696.7,49.28,,,,,,,,,,,,,,,,,,,,,,,,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,1024,1024,1024,k1,11,3.487,615.8,0.75,0.25,252.0,244.5,2.0,0.0,0.0,2.0,33.0,33.52,16.76,3.78,,40,0,0,0,66.7,1,1024,32,32,32,32,12.6,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,2048,2048,2048,k2,11,3.375,5089.6,6.16,0.25,252.0,2020.0,2.0,0.0,0.0,2.0,2.0,4.06,2.03,3.78,,40,0,0,0,66.7,1,1024,32,32,64,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,2048,2048,2048,k3,11,2.685,6397.9,7.75,7.938,8002.0,80.0,2.062,1.0,1.0,0.062,,3.23,1.56,3.26,,38,1,8192,0,66.7,1,1024,32,32,64,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,2048,2048,2048,k3c,11,2.624,6548.2,7.93,12.642,12744.0,51.4,2.039,1.0,1.0,0.039,,3.15,1.55,3.21,,38,1,8192,0,66.7,1,1024,32,32,16,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,2048,2048,2048,k4,11,0.865,19859.8,24.05,7.938,8002.0,248.2,1.188,0.125,1.0,0.062,,1.04,0.88,0.97,,54,1,8192,0,75.0,9,128,32,4,64,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,2048,2048,2048,k5,11,0.53,32404.1,39.24,12.642,12744.0,254.3,0.414,0.125,0.25,0.039,,0.64,1.54,0.53,,72,1,20480,0,33.3,4,128,32,4,16,64,50.3,1
all_20260924_180114.txt,20260924_180114,NVIDIA GeForce RTX 4090,128,2.52,3,square,2048,2048,2048,k6,11,0.438,39207.7,47.48,12.642,12744.0,307.6,0.104,0.031,0.062,0.01,,0.53,5.09,0.13,k6 是 128 位 load，单价未标定，这个数只当下界,111,1,20480,0,33.3,4,128,32,4,16,64,50.3,1
